error
13.2
20.5667
19.6667
17.7667
17.0667
17.9667
18.7333
21.2333
14.7667
18.7333
18.0667
16.2667
16.6667
16.8333
18.3667
18.9667
18.0667
18.1667
19.8667
16.9667
19.0333
21.8333
16.1
17.0667
16.6
18.1667
21.7
16.8
18.2667
18.6333
18.6
19.0333
17.0333
18.8667
18.4
16.8333
20.6
18.2333
14.9667
15.7667
17.4333
18.0333
17.8
17.7
16.6667
14.9667
16.5333
17.4667
15.4
14.9333
14.2667
13.6
17.5667
16.6
16.7333
15.8333
14.3667
13.4667
12.9
16.6333
14.1667
14.4333
15.3
15.5
14.3
15.2
15.0667
15.4667
14.9333
12.6
12.2667
14
13.2667
12.7
14
11.6667
13.8667
11.1
14.9333
15.9333
13.5
14.1333
13.7333
12.4333
15.6667
11.8333
12.5
13.7333
14.2
13.3333
12.2
13.3
14.4667
10.6333
11.8333
13.3667
12.9
13.4333
11.9667
12.1
13.3667
11.8
12.3333
12.7333
13.2
14.3333
12.4667
11.3667
11.4333
12.0667
11.4667
12.9667
11.0667
13.1333
13.6333
13
12.4333
12.6667
10.7667
11.2
10.7333
11
11.6333
11.7333
13.2
11.1333
11.2
12.1
12.8333
12.6
12.9667
12.9
11.8667
11.7667
11.7667
11.9667
10.2
12.7667
12.9
11.2
11.8
10.4333
11.6667
11.6333
12.0667
11.0333
12.6667
11
11.8667
11.3667
11.6333
11.2333
10.6667
9.66667
11.0333
8.06667
11.8667
9.4
10.1
11.5
10.7333
10
10.8333
10.5
10.5
10.5
9.96667
10.1333
9.33333
9.9
10.5667
10.3
9.56667
11.1667
11
10.4333
10.5333
9.96667
11.0333
9.73333
10.8
10.4667
10.3333
10.4
9.23333
9.6
10.6
11.2333
11.3667
10.1333
9.66667
10.4
9.76667
11.3
9.56667
10.6333
9.9
9.3
10.2667
8.9
10.4333
9
9.03333
9.96667
9.86667
9.8
9.73333
9.66667
9.16667
9.76667
9.63333
8.96667
9.36667
11.3
9.86667
9.33333
9.26667
10.5667
8.96667
9.36667
9.86667
9.3
9.7
10.4
8.23333
10.2667
