error
0.92327
0.151572
0.837107
0.832705
0.881761
0.884906
0.893711
0.894969
0.903145
0.825157
0.84717
0.840252
0.8
0.708805
0.758491
0.657862
0.662893
0.566667
0.677358
0.647799
0.613836
0.622013
0.550943
0.60566
0.574843
0.627044
0.591824
0.568554
0.528302
0.54151
0.559748
0.523899
0.49434
0.531447
0.485535
0.569182
0.554088
0.506289
0.571698
0.522013
0.564151
0.472327
0.526415
0.486792
0.540252
0.532704
0.504403
0.557862
0.561006
0.545283
0.504402
0.509434
0.540252
0.516981
0.535849
0.523899
0.491824
0.548428
0.464151
0.485535
0.554088
0.528302
0.479874
0.492453
0.521384
0.52956
0.51761
0.525157
0.508805
0.499371
0.553459
0.539623
0.519497
0.544025
0.545283
0.510063
0.515723
0.549057
0.531447
0.497484
0.567296
0.52327
0.496855
0.506918
0.509434
0.522642
0.512579
0.510692
0.486793
0.497484
0.501887
0.532704
0.557862
0.557233
0.526415
0.560377
0.512579
0.534591
0.556604
0.515094
0.550314
0.556604
0.513837
0.527044
0.496226
0.5
0.53522
0.522641
0.496855
0.511321
0.558491
0.518239
0.488679
0.541509
0.521384
0.557862
0.523899
0.537736
0.510692
0.542138
0.507547
0.540252
0.522013
0.515723
0.51195
0.545912
0.538994
0.532704
0.537736
0.524528
0.512579
0.514465
0.54717
0.531447
0.530189
0.510063
0.537107
0.536478
0.535849
0.540881
0.524528
0.516352
0.544025
0.508176
0.545912
0.524528
0.533962
0.51761
0.52956
0.520755
0.523899
0.546541
0.523899
0.525786
0.518239
0.522641
0.516352
0.53522
0.527673
0.537107
0.51195
0.551572
0.546541
0.544654
0.516352
0.491824
0.542767
0.548428
0.532704
0.511321
0.563522
0.536478
0.521384
0.557862
0.535849
0.559119
0.550314
0.53522
0.530818
0.506918
0.564151
0.547799
0.564151
0.520755
0.531447
0.547799
0.518868
0.512579
0.555975
0.519497
0.544025
0.544654
0.521384
0.549686
0.548428
0.50566
0.530818
0.539623
0.516352
0.545283
0.515094
